train,val,loss
0.6171702284450995,0.5109717868338558,0.6888
0.6361459100957996,0.5282131661442007,0.6693
0.7249447310243183,0.5532915360501567,0.6442
0.763448784082535,0.5532915360501567,0.6211
0.8148489314664702,0.54858934169279,0.5899
0.8465364775239499,0.5564263322884012,0.5621
0.8653279292557111,0.5579937304075235,0.54
0.8927781871775976,0.5438871473354232,0.5208
0.9084377302873987,0.554858934169279,0.5006
0.9200442151805454,0.5642633228840125,0.4817
0.9299926308032425,0.5689655172413793,0.4682
0.93828297715549,0.5564263322884012,0.4543
0.94620486366986,0.5532915360501567,0.4404
0.9509948415622698,0.5595611285266457,0.4325
0.9592851879145173,0.567398119122257,0.4261
0.9624170965364776,0.5532915360501567,0.4197
0.9616801768607222,0.5344827586206896,0.4155
0.9624170965364776,0.5611285266457681,0.4044
0.9677597641857038,0.5595611285266457,0.4071
0.9707074428887251,0.5564263322884012,0.4027
0.9718128224023581,0.5579937304075235,0.3975
0.9743920412675019,0.5736677115987461,0.3907
0.9754974207811349,0.5611285266457681,0.3872
0.9762343404568902,0.5579937304075235,0.3856
0.9793662490788504,0.5658307210031348,0.3826
0.9806558585114222,0.5517241379310345,0.378
0.9804716285924834,0.5736677115987461,0.3745
0.9823139277818718,0.5862068965517241,0.3768
0.9813927781871776,0.567398119122257,0.3686
0.9828666175386883,0.5893416927899686,0.3697
0.9824981577008106,0.5705329153605015,0.3686
0.9837877671333825,0.5689655172413793,0.3702
0.9834193072955048,0.5846394984326019,0.3657
0.9850773765659543,0.5642633228840125,0.3623
0.984340456890199,0.5564263322884012,0.3622
0.9834193072955048,0.5783699059561128,0.3595
0.9847089167280766,0.5611285266457681,0.3626
0.9847089167280766,0.5611285266457681,0.3602
0.9861827560795873,0.5736677115987461,0.3569
0.9867354458364038,0.5705329153605015,0.3572
0.9869196757553427,0.5830721003134797,0.3565
0.9869196757553427,0.5626959247648903,0.3562
0.9878408253500368,0.554858934169279,0.3554
0.9872881355932204,0.5736677115987461,0.3554
0.9869196757553427,0.5689655172413793,0.3533
0.9880250552689757,0.5611285266457681,0.3529
0.9880250552689757,0.5705329153605015,0.3539
0.9880250552689757,0.5705329153605015,0.3524
0.9883935151068534,0.5611285266457681,0.3515
0.9883935151068534,0.5658307210031348,0.3502
0.9882092851879145,0.5658307210031348,0.3478
0.9885777450257922,0.5689655172413793,0.3474
0.9880250552689757,0.5705329153605015,0.3477
0.9882092851879145,0.5658307210031348,0.3467
0.9891304347826086,0.5783699059561128,0.3465
0.9893146647015475,0.5815047021943573,0.3443
0.9889462048636699,0.5768025078369906,0.3462
0.9891304347826086,0.5626959247648903,0.3448
0.9893146647015475,0.567398119122257,0.3447
0.9896831245394252,0.5721003134796239,0.344
0.989867354458364,0.5768025078369906,0.3427
0.9894988946204863,0.5846394984326019,0.3432
0.9896831245394252,0.5815047021943573,0.3429
0.989867354458364,0.5658307210031348,0.3407
0.9900515843773029,0.5595611285266457,0.3408
0.9900515843773029,0.5579937304075235,0.3411
0.9902358142962417,0.5658307210031348,0.3417
0.9906042741341193,0.5830721003134797,0.3418
0.9911569638909359,0.5752351097178683,0.3409
0.990972733971997,0.5705329153605015,0.3398
0.9907885040530582,0.5768025078369906,0.3383
0.9913411938098747,0.5752351097178683,0.3412
0.9913411938098747,0.5705329153605015,0.3399
0.9911569638909359,0.5783699059561128,0.3386
0.9913411938098747,0.5862068965517241,0.3401
0.9911569638909359,0.5815047021943573,0.3374
0.990972733971997,0.5877742946708464,0.3384
0.9911569638909359,0.5846394984326019,0.3378
0.9907885040530582,0.5799373040752351,0.3398
0.9907885040530582,0.5924764890282131,0.3356
0.9911569638909359,0.5846394984326019,0.3371
0.990972733971997,0.5768025078369906,0.3374
0.9911569638909359,0.5752351097178683,0.3373
0.990972733971997,0.5877742946708464,0.3378
0.9911569638909359,0.5893416927899686,0.3376
0.9911569638909359,0.5815047021943573,0.3362
0.990972733971997,0.5768025078369906,0.337
0.990972733971997,0.5783699059561128,0.3353
0.9911569638909359,0.5642633228840125,0.3368
0.9906042741341193,0.5752351097178683,0.3363
0.990972733971997,0.5815047021943573,0.3355
0.9907885040530582,0.603448275862069,0.3357
0.990972733971997,0.5862068965517241,0.3379
0.990972733971997,0.5815047021943573,0.3342
0.990972733971997,0.5893416927899686,0.3358
0.9915254237288136,0.5940438871473355,0.336
0.9913411938098747,0.6018808777429467,0.3345
0.9915254237288136,0.5971786833855799,0.3363
0.9915254237288136,0.5924764890282131,0.3343
0.9915254237288136,0.5893416927899686,0.335
0.9915254237288136,0.5924764890282131,0.3355
0.9915254237288136,0.6003134796238244,0.3349
0.9913411938098747,0.5940438871473355,0.3338
0.9913411938098747,0.5909090909090909,0.3352
0.9915254237288136,0.5830721003134797,0.3318
0.9915254237288136,0.5862068965517241,0.3336
0.9915254237288136,0.5830721003134797,0.3328
0.9915254237288136,0.5783699059561128,0.3331
0.9915254237288136,0.5815047021943573,0.3331
0.9915254237288136,0.5830721003134797,0.3331
0.9915254237288136,0.5877742946708464,0.3346
0.9915254237288136,0.5909090909090909,0.3299
0.9915254237288136,0.5830721003134797,0.3308
0.9915254237288136,0.567398119122257,0.331
0.9915254237288136,0.5752351097178683,0.3328
0.9915254237288136,0.5815047021943573,0.3333
0.9915254237288136,0.5689655172413793,0.3319
0.9915254237288136,0.5689655172413793,0.3308
0.9917096536477524,0.5658307210031348,0.3296
0.9917096536477524,0.5595611285266457,0.3318
0.9917096536477524,0.5689655172413793,0.3328
0.9915254237288136,0.5658307210031348,0.3315
0.9915254237288136,0.567398119122257,0.3306
0.9917096536477524,0.5689655172413793,0.3312
0.9917096536477524,0.5752351097178683,0.3306
0.9917096536477524,0.5611285266457681,0.3312
0.9917096536477524,0.5579937304075235,0.3318
0.9917096536477524,0.5705329153605015,0.3314
0.9917096536477524,0.5752351097178683,0.3309
0.9917096536477524,0.5579937304075235,0.3316
0.9917096536477524,0.5768025078369906,0.3306
0.9917096536477524,0.5721003134796239,0.3305
0.9917096536477524,0.5752351097178683,0.3294
0.9917096536477524,0.5611285266457681,0.3312
0.9917096536477524,0.567398119122257,0.3302
0.9917096536477524,0.5658307210031348,0.3313
0.9917096536477524,0.5736677115987461,0.3321
0.9917096536477524,0.5611285266457681,0.3294
0.9917096536477524,0.5595611285266457,0.3294
0.9917096536477524,0.5705329153605015,0.3303
0.9917096536477524,0.5689655172413793,0.3302
0.9915254237288136,0.5626959247648903,0.3301
0.9917096536477524,0.5595611285266457,0.33
0.9917096536477524,0.5642633228840125,0.331
0.9918938835666913,0.5752351097178683,0.3301
0.9918938835666913,0.5721003134796239,0.3305
0.9917096536477524,0.5689655172413793,0.3307
0.9917096536477524,0.5626959247648903,0.33
0.9918938835666913,0.5658307210031348,0.3311
0.9918938835666913,0.5658307210031348,0.3303
0.9918938835666913,0.5752351097178683,0.3305
0.9918938835666913,0.5705329153605015,0.3299
0.9918938835666913,0.5736677115987461,0.3287
0.9918938835666913,0.5595611285266457,0.3306
0.9917096536477524,0.5611285266457681,0.3301
0.9917096536477524,0.567398119122257,0.3301
0.9917096536477524,0.5658307210031348,0.3317
0.9917096536477524,0.5642633228840125,0.3293
0.9918938835666913,0.5595611285266457,0.3315
0.9918938835666913,0.5642633228840125,0.3289
0.9917096536477524,0.5564263322884012,0.3296
0.9918938835666913,0.5579937304075235,0.3275
0.9918938835666913,0.5658307210031348,0.3294
0.9918938835666913,0.5642633228840125,0.3283
0.9918938835666913,0.5689655172413793,0.3297
0.9918938835666913,0.5611285266457681,0.329
0.9918938835666913,0.567398119122257,0.3285
